source_language,target_language,source_text,target_text
Kidawida,Swahili,Gheko mafundisho gha matuku adadu.,Kutakuwa na mafunzo ya siku tatu.
Kidawida,Swahili,Mwini ghwachika,Mpini umevunjika
Kidawida,Swahili,Jingi sikundilo sa huwu.,Sijawahi kupendwa kama hivi.
Kidawida,Swahili, Naghaluswa irina.,Nimebadilishwa jina
Kidawida,Swahili,Mzerenyi uende polisi,Mwambieni aende polisi
Kidawida,Swahili,Mifugho raenda lishwa.,Mifugo wamo malishoni
Kidawida,Swahili,Mfu ghwadika,Unga umemwagika
Kidawida,Swahili,Odekanilwa useke avua kavui na mbande.,Alikatazwa asitambae karibu na kuni
Kidawida,Swahili,Wasindakotia mburi yejha.,Walikuwa wanauliza mbuzi yakula
Kidawida,Swahili,Mbogha yawedekwa.,Mboga inapikwa.
Kidawida,Swahili,opimwa nyama,Alipimwa nyama
Kidawida,Swahili,Taa yarima.,Taa imezima
Kidawida,Swahili,Napatire kibarua chebonya sikaiagha duu,Nilipata kazi ya kufana sitakaa bure
Kidawida,Swahili, linu nidalala kwa igodoro ijija iwishi nigulo ni mao.,Leo nitalalia godoro lipya nililonunuliwa na mama.
Kidawida,Swahili,Chandarua charashuka,Chandarua kimeraruka
Kidawida,Swahili,Kuvumilia na kuwesera kudava mafanikio ghiboie.,Uvumilivu na subira huzaa mafanikio bora.
Kidawida,Swahili,Naw'ona w'ubaa ghwa Mlungu,Nimeshuhudia ukuu kwa Mungu
Kidawida,Swahili,Maringo ghadakaiya mabaha,Njiwa huwa kubwa
Kidawida,Swahili,kwarwa nguwo rilemere,Umevalia nguo nzito
Kidawida,Swahili,Aw'a w'aghenyi w'efuma kula kweli.,Hawa wageni wametoka mbali sana
Kidawida,Swahili,Kuseka mbai!,Kucheka hapana!
Kidawida,Swahili,W'aw'a w'apo ,Nyanya yangu anajua kushona kweli
Kidawida,Swahili,Siw'ekunda kuw'uya nanyuma putu.,Siwezi taka kurudi nyuma
Kidawida,Swahili,W'edezughwa na w'ikaja malemba ghizamie.,Walikuwa njaa wakala matawi mabaya
Kidawida,Swahili,Oka wa chokwa sa mariwa gha kiliwo.,Ako mweupe kama maziwa.
Kidawida,Swahili,Aha ndekuw'ekaiya sa kenyu,Hapa hapakai kama kwenu
Kidawida,Swahili,Choo aha shwa w'ori nikudume,Kuja haraka upesi nikutume
Kidawida,Swahili,Fuma aha kama kwakughochonya,Toka hapa kama umejikojolea
Kidawida,Swahili,Yaw'uya sughuswa nandighi.,Dunia inatikiswatikiswa.
Kidawida,Swahili,Enja makaritai ghako kwa w'abaa.,Peleka makaratasi yako kwa wakubwa.
Kidawida,Swahili,Bahariyadima kukaia na visiwa vighokie.,Bahari inaweza kuwa na visiwa vya kuvutia.
Kidawida,Swahili,Vindo valungua,Chakula kimeungua
Kidawida,Swahili,W'eke w'aw'a w'apo w'acha.,Wajukuu wangu wamekuja
Kidawida,Swahili,Mae nio mka urwagha nguw'o ndacha ueka,Mama yake ndo mwanamke ambaye huvaa nguo ndefu pekee
Kidawida,Swahili,Mrighiti wawerighita wakongo.,Daktari anatibu wagonjwa.
Kidawida,Swahili,Nyonyi raweagha vijungu vaw'o na nyasi,Ndege zinajenga viota kwa nyasi
Kidawida,Swahili,Wadaniredia vindo toe,Huniletea chakula kila mara
Kidawida,Swahili,Nifuye wughoma,Nisamehe
Kidawida,Swahili,Mkwake olemwa ni kupata mwana,Bibi yake ameshindwa kupata mtoto
Kidawida,Swahili,Olemwa ni kutala magome unekelo.,Alishindwa kuhesabu pesa alizopewa.
Kidawida,Swahili,Wurumwengu ghodu ghokudikana kutunzwa,Dunia yetu inahitaji kutunzwa.
Kidawida,Swahili,Mrongo iw'i na w'unyanya,Ishirini na nane
Kidawida,Swahili,Nyonyi radima kukaia na mafuri ghighokie.,Ndege wanaweza kuwa na manyoya ya kuvutia.
Kidawida,Swahili,Manya kenyu,Fahamu mazingira yako.
Kidawida,Swahili,Wawejhighwa ni chongo,Anaumwa na kichwa
Kidawida,Swahili,Negua mbuw'a imu ihi yew'uya ndini,Nilinunua shamba lingine hili limekuwa ndogo
Kidawida,Swahili,Zighanenyi kiimbiri,Angalieni mbele
Kidawida,Swahili,Wobwagha mbewa isakenyi,Aliuwa panya porini
Kidawida,Swahili,Mwamchorongo hoja,Mjusi yule pale
Kidawida,Swahili,Malagho ghake wadabonya mboa.,Mambo yake huwa anafanya polepole
Kidawida,Swahili,Odecha na magome gha wandu nyumbenyi.,Alikuja na pesa za watu nyumbani
Kidawida,Swahili,Kuelesha kigharo ni ijukumu jedu.,Kusafisha nyumba ni jukumu letu.
Kidawida,Swahili,Ndedidimagha kuruw'uka moda.,Hatuwezi kuvuka mto.
Kidawida,Swahili,W'aghora kuchurie magome,Amesema uongeze hela
Kidawida,Swahili,Ndejiko ilaghoa jikurie jisimwagha kwa kujifunya.,Hakuna jambo gumu linaloshindikana kwa kujitolea.
Kidawida,Swahili,Nesindakunda  kuchenitesia kuw'a.,Nilikuwa nataka nije unisaidie kupanda
Kidawida,Swahili,Mlisha upoie ni Jesu.,Mchungaji mwema ni Yesu
Kidawida,Swahili,Chovu iri nderine mbembe.,Ndovu hawa hawana pembe.
Kidawida,Swahili,Onizighiria w'ei nekania w'andu w'iselime mbuw'a yake.,Alinisingizia eti nilikataza watu wasimlimie shamba lake
Kidawida,Swahili,Odeghuka ighu,Alipanda juu
Kidawida,Swahili,Reko ndighi mbaa andenyi ya kubonya kazi kwa  w'umweri.,Kuna nguvu nyingi sana katika kufanya kazi pamoja.
Kidawida,Swahili,W'anachama w'adadu w'ikacha kuw'ipatanisha.,Wanachama watatu waliwasili kuwapatanisha
Kidawida,Swahili,Neka nyumbenyi,Niko kwa nyumba
Kidawida,Swahili,Izi radacha mezenyi,Nzi huja mezani
Kidawida,Swahili,Ndodo yako ni iyao?,Ndoto yako ni gani?
Kidawida,Swahili,W'edekunda kunywa machi gha modenyi.,Walitaka kunywa maji ya mtoni
Kidawida,Swahili,W'akirwa w'eka na choyo .,Wokovu wana uchoyo
Kidawida,Swahili,Mka irumu na makwaru wakwana.,Jitu na sungura wamekutana
Kidawida,Swahili,Sidimagha kukaia mtesia onyu kaw'ona mwanizighana niekeri.,Siwezi kuwa msaidizi wenu kama m'naniangalia mimi peke yangu.
Kidawida,Swahili,Vilamba vaw'echa gulwa idime,Mabuyu yanakuja kununuliwa leo
Kidawida,Swahili,Kichula chadaka na lwaka lusingie.,Chura huwa na sauti nzuri.
Kidawida,Swahili,Diawonana law'uke,Tutaonana kesho kutwa
Kidawida,Swahili,Koko na awai?,Uko na mpenzi
Kidawida,Swahili,Ata kuje vindo vighane w'ada ndekubandagha kungi.,Ata ukule chakula inatoshana aje huwezi nona
Kidawida,Swahili,Boi wa chilu wadabolwa,Paka mweusi anaogopewa
Kidawida,Swahili,Kusekaie cha kireti kuliw'e mzenyu.,Usikae mjini ukasahau nyumbani kwenu
Kidawida,Swahili,Koichi kulola magome,Unajua kusaka hela
Kidawida,Swahili,Serikali yafundishire w'andu seji w'ifwane witumie trakta.,Serikali imetoa mafunzo kwa wakulima jinsi ya kutumia matrekta hayo.
Kidawida,Swahili,Msaghu ghoka na bidii shuu.,Mchwa uko na bidii sana
Kidawida,Swahili,Muisanga uhuu waboilwa ni kusighwa huru.,Mzalendo huyu anapenda uhuru.
Kidawida,Swahili,Choka radakaiya rizamie,Nyoka ni mbaya
Kidawida,Swahili,W'andu w'elisa kulomba lakini kulima ndew'ikunde.,Watu wamezoea kuomba lakini kulima hawataki
Kidawida,Swahili,Vala vapo vaw'enija nabonya kazi nandighi.,Vidole vyangu vinauma nimefanya kazi nyingi.
Kidawida,Swahili,Warughua nyumba ya w'andu na mndwaro ndeuko.,Amefungua nyumba ya wengine na mwenywe hayuko
Kidawida,Swahili,Nazerwa niende rapo,Nimeambiwa niende zangu
Kidawida,Swahili,Dunga machi gha mbeo mariw'enyi.,Weka maji ya baridi kwa maziwa.
Kidawida,Swahili,Mariwa ghaweishwa,Maziwa yanachemshwa
Kidawida,Swahili,Nabwaghwa ni kau. ,Ninakufa na kiu.
Kidawida,Swahili,Kilole chawekuka.,Kioo kinadondoka.
Kidawida,Swahili,Ini nekunda magome gheeenda w'ughangenyi.,Nataka pesa za kuenda Hospitalini
Kidawida,Swahili,Ndechiko chilemie bidii na kurumaghia.,Hakuna kinachoshinda bidii na uvumilivu.
Kidawida,Swahili,Kwameria kibarua chako,Umemaliza kazi yako
Kidawida,Swahili,Idime ihii ni ya chawucha na lukundo.,Mchana huu ni wa shukrani na upendo.
Kidawida,Swahili,Ndew'ikunde kusigha monyo monyo.,Hawataki kuwacha mambo madogo madogo
Kidawida,Swahili,Chai cha modo chadime kukukora,Chai ya moto inaweza kukuchoma
Kidawida,Swahili,Maghanga ndeghiko,Madawa hakuna
Kidawida,Swahili,Kevika kunikabie mwatulituli,Ukifika nipigie simu
Kidawida,Swahili,Kuseghore kiw'iw'i kwa mndu angu musew'iasikirana.,Usimseme mtu vibaya ikiwa hamsikizani
Kidawida,Swahili,Nyamandu,wanyama
Kidawida,Swahili,W'andu w'a hachi kwa kunughia sharia ndew'iko kwa mvono.,Wanaotafuta haki kwa kutii sheria hawamo kwa neema.
Kidawida,Swahili,Nasea kidombo luma hata naw'aw'a ni lugudu.,Nimekaa chini kwamda mrefu mpaka ninaumwa na kifandugu.
Kidawida,Swahili,Leka niw'uye kazinyi,Wacha nirudi kazini
Kidawida,Swahili,Siwelipia machi,Silipii maji
Kidawida,Swahili,Mariwa ghaweishwa,Maziwa yanachemshwa
Kidawida,Swahili,Oho ni wa kiw'omi angu wa kiw'aka?,Wewe ni wa kiume ama wa kike?
Kidawida,Swahili,Simanyaa ngera kum'manyaa loli.,Sidhani kama utamjua kweli
Kidawida,Swahili,W'ika mwana w'ulinyi ulale,Ujifunze kusalimia watu
Kidawida,Swahili,Vua yadakamba ngi!,Mvua hutanda kabisa/sana!
Kidawida,Swahili,Kazi kwa bidii yeko na thamani yake na yadima kughalusa maisha.,Kazi kwa bidii ina thamani yake na inaweza kubadilisha maisha.
Kidawida,Swahili,Afya iboiye ni wuzuri ghwa loli.,Afya njema ni utajiri wa kweli.
Kidawida,Swahili,Ikumi na ikenda,Kumi na tisa
Kidawida,Swahili,W'ukelemeri si kusow'a kudima.,Ulemavu sio kutokuwa na uwezo.
Kidawida,Swahili,Kodeghora kifwa yedepatikana.,Ulisema matanga yalipatikana
Kidawida,Swahili,Agha matuku onyama ata ndeudedagha,Siku hizi amenyamaza ata hua haongei
Kidawida,Swahili,W'ajipula bula,Amejifunika blanketi
Kidawida,Swahili,M'mangi wa isanga wawededa,Raisi anahutubu
Kidawida,Swahili,Kusinde na sere mwai wapo,Ushinde na amani msichana wangu
Kidawida,Swahili,Ndeo uchakukaba oho.,Baba yako atakupiga wewe
Kidawida,Swahili,Nemkotia ukalegha putu kunighoria.,Nilimuuliza akakataa kabisa kuniambia
Kidawida,Swahili,Ughu mpira ghoka ghulue.,Mpira ni mchafu.
Kidawida,Swahili,Kumneke mayo na ndeyo ishima,Umpe baba yako na mama yako heshima
Kidawida,Swahili,Ela nakio orekoghe ukifuma kwendalala aighu ya mghondi,Kila usiku aalikuwa akitoka akienda kulala huko milimani.
Kidawida,Swahili,Naweshama nguku ra nyalo,Nafuga kuku za nyama
Kidawida,Swahili,Si nicha kungi w'andu w'atini kukaia duhu.,Si vizuri vijana kukaa bure.
Kidawida,Swahili,Iridia jhake ni ilacha.,Nywele yake ni refu
Kidawida,Swahili,W'andu w'azoya kubora ikanisenyi,Watu wameanza kuimba kanisani
Kidawida,Swahili,Osindalumwa ni kifu ukadumbulwa w'ula.,Alikuwa anakatwa na tumbo akakatwa tumbo
Kidawida,Swahili,Ndoudimaa kusarigha uekeri.,Hawezi kucheza peke yake.
